metric;value;
cpui_model_name;AMD Ryzen 5 3500X 6-Core Processor;
uarchitecture_code;37;
cqa_arch;x86_64;
peak_GFLOPS_32;197.82624;
proc_name;AMD_fam17h_mod71h;
lprof_suffix;3;
cpui_cache_size;512 KB;
os_version;Linux 6.17.0-14-generic #14~24.04.1-Ubuntu SMP PREEMPT_DYNAMIC Thu Jan 15 15:52:10 UTC 2;
scaling_governor;performance;
cur_frequency;4100175;
cqa_uarch;ZEN_V2;
huge_pages;madvise;
nb_filtered_functions;0;
driver_frequency;amd-pstate-epp;
threads_per_core;1;
exp_version;3.1;
universal_timestamp;1772115435;
maqao_build;7e198a7ec9fb425c75ec6c6a36a98893b37a86d6::20260204-112052;
cov_filtered_loops;0;
perf_event_paranoid;1;
cpui_cpu_cores;6;
maqao_version;2026.0.0;
global_instances_per_bucket;31;
timestamp;2026-02-26 15:17:15;
nb_filtered_loops;0;
architecture_code;2;
config_count;1;
last_html_path;cg.C_one_html;
architecture;x86_64;
hostnames;platy-MS-7C02;
is_lstopo;true;
cores_per_socket;6;
hostname;platy-MS-7C02;
max_frequency;4121380;
min_time_obj;0.1;
uarchitecture;ZEN_V2;
sockets;1;
is_src_code;true;
peak_GFLOPS_64;98.91312;
previous_thread_filter_threshold;1%;
instances_per_bucket;31;
cov_filtered_functions;0;
